Timestamp,"MB Fan #1","MB Fan #2","MB Fan #3","MB Fan #4","MB Fan #5","MB Temp #1","MB Temp #2","MB Temp #3","MB VCPU","CPU Package","CPU Load","GPU #1 Temp #1","GPU #1 Temp #2","GPU #1 Load","GPU #1 Memory Load","GPU #1 Video Engine","GPU #2 Fan","GPU #2 Temp #1","GPU #2 Temp #2","GPU #2 Temp #3","GPU #2 Load #1","GPU #2 Memory Load","GPU #2 Video Engine","HX1000i Fan","HX1000i Temp","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 12V Current","HX1000i 12V Power"
29/8/2025 20:20:53 PM,1173RPM,1735RPM,3534RPM,1186RPM,1207RPM,38.00°C,63.00°C,38.00°C,1.15V,64.13°C,26%,41.00°C,45.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,6%,11%,0%,1552RPM,34.50°C,90W,11.90V,7.00A,83W
29/8/2025 20:20:58 PM,1184RPM,1760RPM,3488RPM,1175RPM,1186RPM,38.00°C,64.50°C,38.00°C,1.14V,64.38°C,43%,41.00°C,45.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,5%,11%,0%,1536RPM,34.50°C,90W,11.90V,8.50A,101W
29/8/2025 20:21:03 PM,1174RPM,1755RPM,3571RPM,1190RPM,1188RPM,38.00°C,65.50°C,38.00°C,1.12V,66.75°C,33%,41.00°C,44.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,2%,11%,0%,1552RPM,34.50°C,90W,11.90V,8.50A,101W
29/8/2025 20:21:08 PM,1186RPM,1737RPM,3562RPM,1173RPM,1186RPM,38.00°C,64.50°C,38.00°C,1.11V,64.38°C,37%,40.00°C,44.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,4%,11%,0%,1536RPM,34.50°C,90W,11.90V,8.00A,95W
29/8/2025 20:21:13 PM,1174RPM,1757RPM,3590RPM,1180RPM,1207RPM,38.00°C,64.00°C,38.00°C,1.12V,64.88°C,29%,41.00°C,44.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,19%,11%,0%,1552RPM,34.50°C,90W,11.90V,7.50A,89W
29/8/2025 20:21:18 PM,1183RPM,1809RPM,3571RPM,1176RPM,1207RPM,38.00°C,64.50°C,38.00°C,1.15V,64.88°C,33%,40.00°C,44.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,21%,12%,0%,1536RPM,34.50°C,90W,11.90V,8.00A,95W
29/8/2025 20:21:23 PM,1183RPM,1809RPM,3571RPM,1176RPM,1207RPM,38.00°C,64.50°C,38.00°C,1.15V,63.00°C,37%,40.00°C,44.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,21%,12%,0%,1544RPM,34.50°C,89W,11.90V,6.50A,77W
29/8/2025 20:21:28 PM,1183RPM,1732RPM,3488RPM,1186RPM,1207RPM,38.00°C,61.50°C,38.00°C,1.14V,61.88°C,21%,40.00°C,44.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,3%,12%,0%,1536RPM,34.50°C,91W,11.90V,9.00A,107W
29/8/2025 20:21:33 PM,1175RPM,1654RPM,3375RPM,1189RPM,1189RPM,38.00°C,58.50°C,39.00°C,1.17V,54.38°C,37%,40.00°C,44.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,37.00°C,5%,12%,0%,1552RPM,34.50°C,90W,11.90V,7.00A,83W
29/8/2025 20:21:38 PM,1184RPM,1493RPM,3253RPM,1189RPM,1188RPM,38.00°C,54.50°C,39.00°C,1.12V,56.75°C,31%,41.00°C,45.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,37.00°C,4%,13%,0%,1544RPM,34.50°C,89W,11.90V,6.00A,71W
