Timestamp,"MB Fan #1","MB Fan #2","MB Fan #3","MB Fan #4","MB Fan #5","MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB VCPU","CPU Package","CPU Load","GPU #1 Fan","GPU #1 Temp #1","GPU #1 Temp #2","GPU #1 Temp #3","GPU #1 Load","GPU #1 Memory Load","GPU #1 Video Engine","GPU #2 Temp #1","GPU #2 Temp #2","GPU #2 Load #1","GPU #2 Memory Load","GPU #2 Video Engine","HX1000i Fan","HX1000i Temp","HX1000i Power In #1","HX1000i Power Out #1","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 5V Voltage","HX1000i 3.3V Voltage","HX1000i 12V Current","HX1000i 5V Current","HX1000i 3.3V Current","HX1000i 12V Power","HX1000i 5V Power","HX1000i 3.3V Power"
21/9/2025 19:32:02 PM,1439RPM,1790RPM,4192RPM,546RPM,1195RPM,37.00°C,58.50°C,37.00°C,42.60°C,48.00°C,1.16V,58.50°C,18%,1671RPM,48.00°C,42.00°C,37.00°C,18%,6%,0%,39.00°C,42.00°C,0%,0%,0%,1792RPM,31.00°C,139W,125W,90W,11.90V,5.10V,3.30V,7.00A,8.10A,0.00A,83W,41W,0W
21/9/2025 19:32:04 PM,1439RPM,1790RPM,4192RPM,546RPM,1195RPM,37.00°C,58.50°C,37.00°C,42.60°C,48.00°C,1.16V,58.50°C,18%,1671RPM,48.00°C,42.00°C,37.00°C,18%,6%,0%,39.00°C,42.00°C,0%,0%,0%,1792RPM,31.00°C,152W,138W,90W,11.90V,5.10V,3.30V,8.00A,8.30A,0.00A,95W,42W,0W
21/9/2025 19:32:06 PM,1439RPM,1790RPM,4192RPM,546RPM,1195RPM,37.00°C,58.50°C,37.00°C,42.60°C,48.00°C,1.16V,58.50°C,18%,1671RPM,48.00°C,42.00°C,37.00°C,18%,6%,0%,39.00°C,42.00°C,0%,0%,0%,1800RPM,31.00°C,127W,113W,89W,11.90V,5.10V,3.30V,6.00A,8.10A,0.00A,71W,41W,0W
21/9/2025 19:32:08 PM,1439RPM,1790RPM,4192RPM,546RPM,1195RPM,37.00°C,58.50°C,37.00°C,42.60°C,48.00°C,1.16V,58.50°C,18%,1671RPM,48.00°C,42.00°C,37.00°C,18%,6%,0%,39.00°C,42.00°C,0%,0%,0%,1800RPM,31.00°C,171W,156W,91W,11.90V,5.10V,3.30V,9.50A,8.40A,0.00A,113W,43W,0W
21/9/2025 19:32:10 PM,1439RPM,1790RPM,4192RPM,546RPM,1195RPM,37.00°C,58.50°C,37.00°C,42.60°C,48.00°C,1.16V,58.50°C,18%,1671RPM,48.00°C,42.00°C,37.00°C,18%,6%,0%,39.00°C,42.00°C,0%,0%,0%,1784RPM,31.00°C,170W,155W,91W,11.90V,5.00V,3.30V,9.50A,8.40A,0.00A,113W,42W,0W
21/9/2025 19:32:12 PM,1439RPM,1790RPM,4192RPM,546RPM,1195RPM,37.00°C,58.50°C,37.00°C,42.60°C,48.00°C,1.16V,57.63°C,34%,1671RPM,48.00°C,42.00°C,37.00°C,18%,6%,0%,39.00°C,42.00°C,0%,0%,0%,1784RPM,31.00°C,781W,725W,93W,11.90V,38.00V,42.00V,8.00A,8.40A,7.40A,95W,319W,311W
21/9/2025 19:32:14 PM,1439RPM,1790RPM,4192RPM,546RPM,1195RPM,37.00°C,58.50°C,37.00°C,42.60°C,48.00°C,1.16V,57.63°C,34%,1671RPM,48.00°C,42.00°C,37.00°C,18%,6%,0%,39.00°C,42.00°C,0%,0%,0%,1776RPM,31.00°C,146W,132W,90W,11.90V,5.10V,3.30V,7.50A,8.30A,0.00A,89W,42W,0W
21/9/2025 19:32:16 PM,1493RPM,1748RPM,4179RPM,544RPM,1202RPM,37.00°C,61.00°C,37.00°C,42.60°C,48.00°C,1.13V,63.50°C,30%,1985RPM,46.00°C,39.00°C,34.00°C,0%,9%,0%,38.00°C,42.00°C,0%,0%,0%,1776RPM,31.00°C,132W,117W,89W,11.90V,5.00V,3.30V,6.50A,8.00A,0.00A,77W,40W,0W
21/9/2025 19:32:18 PM,1493RPM,1748RPM,4179RPM,544RPM,1202RPM,37.00°C,61.00°C,37.00°C,42.60°C,48.00°C,1.13V,63.50°C,30%,1985RPM,46.00°C,39.00°C,34.00°C,0%,9%,0%,38.00°C,42.00°C,0%,0%,0%,1784RPM,31.00°C,158W,143W,91W,11.90V,5.10V,3.30V,8.50A,8.30A,0.00A,101W,42W,0W
21/9/2025 19:32:20 PM,1493RPM,1748RPM,4179RPM,544RPM,1202RPM,37.00°C,61.00°C,37.00°C,42.60°C,48.00°C,1.13V,63.50°C,30%,1985RPM,46.00°C,39.00°C,34.00°C,0%,9%,0%,38.00°C,42.00°C,0%,0%,0%,1784RPM,31.00°C,170W,154W,91W,11.90V,5.10V,3.30V,9.50A,8.10A,0.00A,113W,41W,0W
