"Timestamp","MB Fan #1","MB Fan #2","MB Fan #3","MB Fan #4","MB Fan #5","MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB VCPU","CPU Package","CPU Load","GPU #1 Fan","GPU #1 Temp #1","GPU #1 Temp #2","GPU #1 Temp #3","GPU #1 Load","GPU #1 Memory Load","GPU #1 Video Engine","GPU #2 Temp #1","GPU #2 Temp #2","GPU #2 Load #1","GPU #2 Memory Load","GPU #2 Video Engine","HX1000i Fan","HX1000i Temp","HX1000i Power In #1","HX1000i Power Out #1","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 5V Voltage","HX1000i 3.3V Voltage","HX1000i 12V Current","HX1000i 5V Current","HX1000i 3.3V Current","HX1000i 12V Power","HX1000i 5V Power","HX1000i 3.3V Power"
"2025-09-22T12:49:09.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","60.25°C","25%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","30.50°C","132W","118W","89W","11.90V","5.10V","3.30V","6.50A","8.00A","0.00A","77W","41W","0W"
"2025-09-22T12:49:10.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","60.25°C","25%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","30.50°C","146W","132W","90W","11.90V","5.10V","3.30V","7.50A","8.30A","0.00A","89W","42W","0W"
"2025-09-22T12:49:11.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","60.25°C","25%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","30.50°C","146W","132W","90W","11.90V","5.10V","3.30V","7.50A","8.30A","0.00A","89W","42W","0W"
"2025-09-22T12:49:12.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","60.25°C","25%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1776RPM","30.50°C","159W","144W","91W","11.90V","5.00V","3.30V","8.50A","8.50A","0.00A","101W","43W","0W"
"2025-09-22T12:49:13.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","60.25°C","25%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1784RPM","30.50°C","159W","144W","91W","11.90V","5.00V","3.30V","8.50A","8.50A","0.00A","101W","43W","0W"
"2025-09-22T12:49:14.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","60.25°C","25%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1784RPM","30.50°C","159W","144W","91W","11.90V","5.00V","3.30V","8.50A","8.50A","0.00A","101W","43W","0W"
"2025-09-22T12:49:15.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","60.25°C","25%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1784RPM","30.50°C","157W","142W","91W","11.90V","5.10V","3.30V","8.50A","8.10A","0.00A","101W","41W","0W"
"2025-09-22T12:49:16.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","60.25°C","25%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1784RPM","30.50°C","165W","149W","91W","11.90V","5.10V","3.30V","9.00A","8.30A","0.00A","107W","42W","0W"
"2025-09-22T12:49:17.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","60.25°C","25%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1784RPM","30.50°C","165W","149W","91W","11.90V","5.10V","3.30V","9.00A","8.30A","0.00A","107W","42W","0W"
"2025-09-22T12:49:18.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","58.88°C","29%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","30.50°C","133W","119W","89W","11.90V","5.10V","3.30V","6.50A","8.10A","0.00A","77W","41W","0W"
"2025-09-22T12:49:19.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","58.88°C","29%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","30.50°C","140W","125W","90W","11.90V","5.00V","3.30V","7.00A","8.40A","0.00A","83W","42W","0W"
"2025-09-22T12:49:20.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","58.88°C","29%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","30.50°C","140W","125W","90W","11.90V","5.00V","3.30V","7.00A","8.40A","0.00A","83W","42W","0W"
"2025-09-22T12:49:21.000Z","677RPM","1198RPM","4103RPM","581RPM","804RPM","37.00°C","61.50°C","35.00°C","42.60°C","46.00°C","1.18V","58.88°C","29%","0RPM","42.00°C","36.00°C","31.00°C","8%","5%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","30.50°C","196W","180W","92W","11.90V","5.00V","3.30V","11.50A","8.60A","0.00A","137W","43W","0W"
"2025-09-22T12:49:22.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","23%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1792RPM","30.50°C","184W","168W","91W","11.90V","5.00V","3.30V","10.50A","8.60A","0.00A","125W","43W","0W"
"2025-09-22T12:49:23.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","23%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1792RPM","30.50°C","184W","168W","91W","11.90V","5.00V","3.30V","10.50A","8.60A","0.00A","125W","43W","0W"
"2025-09-22T12:49:24.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","23%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1792RPM","30.50°C","171W","156W","91W","11.90V","5.00V","3.30V","9.50A","8.50A","0.00A","113W","43W","0W"
"2025-09-22T12:49:25.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","23%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1776RPM","30.00°C","147W","132W","90W","11.90V","5.10V","3.30V","7.50A","8.40A","0.00A","89W","43W","0W"
"2025-09-22T12:49:26.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","23%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1776RPM","30.00°C","147W","132W","90W","11.90V","5.10V","3.30V","7.50A","8.40A","0.00A","89W","43W","0W"
"2025-09-22T12:49:27.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","23%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1768RPM","30.00°C","140W","125W","90W","11.90V","5.00V","3.30V","7.00A","8.40A","0.00A","83W","42W","0W"
"2025-09-22T12:49:28.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","23%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1776RPM","30.00°C","165W","149W","91W","11.90V","5.10V","3.30V","9.00A","8.30A","0.00A","107W","42W","0W"
"2025-09-22T12:49:29.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","23%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1776RPM","30.00°C","165W","149W","91W","11.90V","5.10V","3.30V","9.00A","8.30A","0.00A","107W","42W","0W"
"2025-09-22T12:49:30.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","69%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1792RPM","30.00°C","171W","156W","91W","11.90V","5.00V","3.30V","9.50A","8.50A","0.00A","113W","43W","0W"
"2025-09-22T12:49:31.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","69%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1776RPM","30.00°C","146W","131W","90W","11.90V","5.00V","230.00V","7.50A","8.40A","0.00A","89W","42W","0W"
"2025-09-22T12:49:32.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","69%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1776RPM","30.00°C","146W","131W","90W","11.90V","5.00V","230.00V","7.50A","8.40A","0.00A","89W","42W","0W"
"2025-09-22T12:49:33.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","69%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1776RPM","30.00°C","146W","131W","90W","11.90V","5.00V","230.00V","7.50A","8.40A","0.00A","89W","42W","0W"
"2025-09-22T12:49:34.000Z","1150RPM","1802RPM","4218RPM","543RPM","1058RPM","37.00°C","52.50°C","35.00°C","42.60°C","47.00°C","1.24V","52.63°C","69%","337RPM","42.00°C","36.00°C","31.00°C","0%","7%","0%","38.00°C","41.00°C","0%","0%","0%","1784RPM","30.00°C","128W","114W","89W","11.90V","5.10V","3.30V","6.00A","8.40A","0.00A","71W","43W","0W"
"2025-09-22T12:49:35.000Z","1511RPM","1760RPM","4205RPM","537RPM","1071RPM","38.00°C","58.50°C","36.00°C","42.60°C","47.00°C","1.14V","59.00°C","50%","1590RPM","42.00°C","36.00°C","30.00°C","4%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1784RPM","30.00°C","128W","114W","89W","11.90V","5.10V","3.30V","6.00A","8.40A","0.00A","71W","43W","0W"
"2025-09-22T12:49:36.000Z","1511RPM","1760RPM","4205RPM","537RPM","1071RPM","38.00°C","58.50°C","36.00°C","42.60°C","47.00°C","1.14V","59.00°C","50%","1590RPM","42.00°C","36.00°C","30.00°C","4%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1784RPM","30.00°C","128W","114W","89W","11.90V","5.10V","3.30V","6.00A","8.30A","0.00A","71W","42W","0W"
"2025-09-22T12:49:37.000Z","1511RPM","1760RPM","4205RPM","537RPM","1071RPM","38.00°C","58.50°C","36.00°C","42.60°C","47.00°C","1.14V","59.00°C","50%","1590RPM","42.00°C","36.00°C","30.00°C","4%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1784RPM","30.00°C","171W","156W","91W","11.90V","5.00V","3.30V","9.50A","8.50A","0.00A","113W","43W","0W"
"2025-09-22T12:49:38.000Z","1511RPM","1760RPM","4205RPM","537RPM","1071RPM","38.00°C","58.50°C","36.00°C","42.60°C","47.00°C","1.14V","59.00°C","50%","1590RPM","42.00°C","36.00°C","30.00°C","4%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1784RPM","30.00°C","171W","156W","91W","11.90V","5.00V","3.30V","9.50A","8.50A","0.00A","113W","43W","0W"
"2025-09-22T12:49:39.000Z","1511RPM","1760RPM","4205RPM","537RPM","1071RPM","38.00°C","58.50°C","36.00°C","42.60°C","47.00°C","1.14V","59.00°C","50%","1590RPM","42.00°C","36.00°C","30.00°C","4%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1768RPM","30.00°C","145W","131W","90W","11.90V","5.10V","3.30V","7.50A","8.10A","0.00A","89W","41W","0W"
"2025-09-22T12:49:40.000Z","1511RPM","1760RPM","4205RPM","537RPM","1071RPM","38.00°C","58.50°C","36.00°C","42.60°C","47.00°C","1.14V","59.00°C","50%","1590RPM","42.00°C","36.00°C","30.00°C","4%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","30.00°C","128W","114W","89W","11.90V","5.10V","3.30V","6.00A","8.30A","0.00A","71W","42W","0W"
"2025-09-22T12:49:41.000Z","1511RPM","1760RPM","4205RPM","537RPM","1071RPM","38.00°C","58.50°C","36.00°C","42.60°C","47.00°C","1.14V","59.00°C","50%","1590RPM","42.00°C","36.00°C","30.00°C","4%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1776RPM","30.00°C","128W","114W","89W","11.90V","5.10V","3.30V","6.00A","8.30A","0.00A","71W","42W","0W"
"2025-09-22T12:49:42.000Z","1511RPM","1760RPM","4205RPM","537RPM","1071RPM","38.00°C","58.50°C","36.00°C","42.60°C","47.00°C","1.14V","59.00°C","35%","1590RPM","42.00°C","36.00°C","30.00°C","4%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1768RPM","30.00°C","159W","144W","91W","11.90V","5.00V","3.30V","8.50A","8.50A","0.00A","101W","43W","0W"
"2025-09-22T12:49:43.000Z","1511RPM","1760RPM","4205RPM","537RPM","1071RPM","38.00°C","58.50°C","36.00°C","42.60°C","47.00°C","1.14V","59.00°C","35%","1590RPM","42.00°C","36.00°C","30.00°C","4%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1768RPM","30.00°C","159W","144W","91W","11.90V","5.00V","3.30V","8.50A","8.50A","0.00A","101W","43W","0W"
"2025-09-22T12:49:44.000Z","1511RPM","1760RPM","4205RPM","537RPM","1071RPM","38.00°C","58.50°C","36.00°C","42.60°C","47.00°C","1.14V","59.00°C","35%","1590RPM","42.00°C","36.00°C","30.00°C","4%","11%","0%","38.00°C","42.00°C","0%","0%","0%","1800RPM","30.00°C","14022W","8783W","63W","230.00V","5.00V","3.30V","38.00A","8.50A","0.00A","8740W","43W","0W"
"2025-09-22T12:49:45.000Z","1496RPM","1757RPM","4153RPM","533RPM","1047RPM","38.00°C","68.00°C","36.00°C","42.60°C","47.00°C","1.12V","68.88°C","75%","1549RPM","40.00°C","34.00°C","28.00°C","9%","11%","0%","39.00°C","42.00°C","0%","0%","0%","1792RPM","30.00°C","146W","132W","90W","11.90V","5.10V","3.30V","7.50A","8.30A","0.00A","89W","42W","0W"
"2025-09-22T12:49:46.000Z","1496RPM","1757RPM","4153RPM","533RPM","1047RPM","38.00°C","68.00°C","36.00°C","42.60°C","47.00°C","1.12V","68.88°C","75%","1549RPM","40.00°C","34.00°C","28.00°C","9%","11%","0%","39.00°C","42.00°C","0%","0%","0%","1792RPM","30.00°C","146W","132W","90W","11.90V","5.10V","3.30V","7.50A","8.30A","0.00A","89W","42W","0W"
"2025-09-22T12:49:47.000Z","1496RPM","1757RPM","4153RPM","533RPM","1047RPM","38.00°C","68.00°C","36.00°C","42.60°C","47.00°C","1.12V","68.88°C","75%","1549RPM","40.00°C","34.00°C","28.00°C","9%","11%","0%","39.00°C","42.00°C","0%","0%","0%","1792RPM","30.00°C","140W","126W","90W","11.90V","5.10V","3.30V","7.00A","8.30A","0.00A","83W","42W","0W"
"2025-09-22T12:49:48.000Z","1496RPM","1757RPM","4153RPM","533RPM","1047RPM","38.00°C","68.00°C","36.00°C","42.60°C","47.00°C","1.12V","68.88°C","75%","1549RPM","40.00°C","34.00°C","28.00°C","9%","11%","0%","39.00°C","42.00°C","0%","0%","0%","1776RPM","30.00°C","140W","126W","90W","11.90V","5.10V","3.30V","7.00A","8.30A","0.00A","83W","42W","0W"
